2	0	1	2	3
1	2	4	5	6
0	7	8	9	5
5	3	6	7	16
4	1	15	9	4
13	47	27	45	51
9	17	18	15	19
8	20	17	21	22
32	23	24	19	25
22	26	14	27	28
12	29	30	16	27
31	31	25	20	32
21	26	13	33	34
11	35	30	36	37
29	38	24	0	14
19	39	40	29	41
30	23	38	42	31
20	33	12	43	44
10	22	36	16	45
28	46	28	47	48
18	41	43	3	27
27	42	14	45	32
17	39	49	6	43
26	50	32	51	48
16	40	49	7	30
35	52	11	1	24
25	50	42	26	46
15	47	29	35	53
34	52	10	13	38
24	34	28	41	44
14	53	37	22	51
7	20	19	0	45
6	21	18	8	36
33	10	11	2	12
23	13	12	3	14
3	0	15	8	16
